,Subject,Session,SymSpan.EditDistanceScore,SymSpan.EditDistanceUnit,SymSpan.EditDistanceLoad,SymSpan.PartialScore,SymSpan.PartialUnit,SymSpan.PartialLoad,SymSpan.AbsoluteScore,SymSpan.AbsoluteUnit,SymSpan.AbsoluteLoad,Symmetry.ACC,Symmetry.RT_mean,Symmetry.RT_sd,SymSpan.Trials,SymSpan.MemoryItems,SessionDate,SessionTime
0,1,3,11,0.8375,0.7857142857142857,11,0.8375,0.7857142857142857,5,0.5,0.3571428571428571,0.8571428571428571,2621.3571428571427,680.6687443686831,4,14,05-07-2024,19:48:23
0,2,3,13,0.9166666666666666,0.9285714285714286,13,0.9166666666666666,0.9285714285714286,11,0.75,0.7857142857142857,0.8571428571428571,1521.428571428571,334.90703975092146,4,14,03-05-2024,11:37:42
0,3,3,13,0.95,0.9285714285714286,11,0.85,0.7857142857142857,9,0.75,0.6428571428571429,1.0,6245.714285714285,2432.34617439375,4,14,03-28-2024,16:41:47
0,4,3,12,0.8875,0.8571428571428571,10,0.7875,0.7142857142857143,5,0.5,0.3571428571428571,1.0,3936.142857142858,1373.736222420887,4,14,03-28-2024,17:08:10
0,5,3,7,0.5583333333333333,0.5,6,0.4958333333333333,0.4285714285714285,2,0.25,0.1428571428571428,0.8571428571428571,4003.285714285714,1450.2462617708138,4,14,04-27-2024,17:25:58
0,6,3,11,0.85,0.7857142857142857,11,0.85,0.7857142857142857,9,0.75,0.6428571428571429,0.8571428571428571,3058.1428571428573,1443.2059854655247,4,14,03-22-2024,19:55:44
0,7,3,12,0.9,0.8571428571428571,12,0.9,0.8571428571428571,9,0.75,0.6428571428571429,0.9285714285714286,3284.8571428571427,951.5489281363112,4,14,03-09-2024,11:37:25
0,8,3,9,0.7041666666666666,0.6428571428571429,7,0.6041666666666666,0.5,2,0.25,0.1428571428571428,0.8571428571428571,3583.8571428571427,1084.7863920991615,4,14,03-20-2024,13:46:37
0,9,3,7,0.5583333333333333,0.5,7,0.5583333333333333,0.5,2,0.25,0.1428571428571428,0.9285714285714286,2943.3571428571427,1972.2463415780828,4,14,03-20-2024,17:27:34
0,10,3,8,0.65,0.5714285714285714,7,0.6,0.5,5,0.5,0.3571428571428571,0.8571428571428571,4776.571428571428,1548.813477089216,4,14,03-04-2024,14:35:00
0,11,3,9,0.725,0.6428571428571429,7,0.625,0.5,5,0.5,0.3571428571428571,0.9285714285714286,3779.785714285714,1427.6874350108685,4,14,05-03-2024,14:34:38
0,12,3,9,0.6583333333333333,0.6428571428571429,7,0.5583333333333333,0.5,2,0.25,0.1428571428571428,0.9285714285714286,2585.3571428571427,816.4967009347697,4,14,03-09-2024,14:33:54
0,13,3,5,0.425,0.3571428571428571,4,0.375,0.2857142857142857,2,0.25,0.1428571428571428,1.0,6846.357142857143,3417.5787337088377,4,14,03-08-2024,16:44:51
0,14,3,12,0.8875,0.8571428571428571,12,0.8875,0.8571428571428571,5,0.5,0.3571428571428571,1.0,5337.071428571428,1426.191025304584,4,14,03-12-2024,16:52:20
0,15,3,8,0.6208333333333333,0.5714285714285714,8,0.6208333333333333,0.5714285714285714,2,0.25,0.1428571428571428,0.9285714285714286,5424.5,1590.2038935548244,4,14,03-14-2024,20:36:37
0,16,3,11,0.825,0.7857142857142857,10,0.775,0.7142857142857143,5,0.5,0.3571428571428571,1.0,4967.357142857143,1705.7478669821885,4,14,03-16-2024,16:43:41
0,18,3,10,0.7208333333333333,0.7142857142857143,10,0.7208333333333333,0.7142857142857143,2,0.25,0.1428571428571428,0.7857142857142857,2676.785714285714,715.4600648503063,4,14,03-30-2024,11:32:35
0,19,3,13,0.9375,0.9285714285714286,13,0.9375,0.9285714285714286,10,0.75,0.7142857142857143,1.0,1641.928571428571,372.8388937052312,4,14,03-26-2024,16:19:31
0,20,3,13,0.95,0.9285714285714286,13,0.95,0.9285714285714286,9,0.75,0.6428571428571429,1.0,4457.785714285715,1695.5668069124545,4,14,03-29-2024,20:43:44
0,21,3,7,0.6125,0.5,7,0.6125,0.5,5,0.5,0.3571428571428571,0.9285714285714286,6040.285714285715,2427.5706574069677,4,14,04-20-2024,14:22:26
0,23,3,5,0.4458333333333333,0.3571428571428571,4,0.3958333333333333,0.2857142857142857,2,0.25,0.1428571428571428,0.6428571428571429,7005.714285714285,8028.800680900378,4,14,04-06-2024,16:31:29
0,24,3,9,0.6916666666666667,0.6428571428571429,8,0.6083333333333333,0.5714285714285714,2,0.25,0.1428571428571428,0.8571428571428571,2107.1428571428573,876.7904632713089,4,14,04-05-2024,16:39:44
0,25,3,10,0.6875,0.7142857142857143,10,0.6875,0.7142857142857143,8,0.5,0.5714285714285714,1.0,2155.285714285714,508.1230057879578,4,14,03-30-2024,16:20:47
0,27,3,11,0.7416666666666667,0.7857142857142857,11,0.7416666666666667,0.7857142857142857,4,0.25,0.2857142857142857,1.0,2172.5714285714284,553.836648270077,4,14,04-20-2024,16:17:02
0,28,3,8,0.6208333333333333,0.5714285714285714,8,0.6208333333333333,0.5714285714285714,2,0.25,0.1428571428571428,0.7142857142857143,6928.0,2446.875212938394,4,14,04-04-2024,15:10:51
0,29,3,10,0.775,0.7142857142857143,10,0.775,0.7142857142857143,5,0.5,0.3571428571428571,1.0,2648.6428571428573,674.5668247838024,4,14,04-19-2024,16:55:34
0,30,3,13,0.95,0.9285714285714286,9,0.75,0.6428571428571429,9,0.75,0.6428571428571429,0.9285714285714286,3539.3571428571427,1819.9183670256648,4,14,04-19-2024,13:29:10
0,32,3,14,1.0,1.0,14,1.0,1.0,14,1.0,1.0,0.8571428571428571,2876.1428571428573,658.7929355025992,4,14,04-20-2024,11:30:16
0,34,3,11,0.8166666666666667,0.7857142857142857,9,0.65,0.6428571428571429,6,0.5,0.4285714285714285,0.6428571428571429,1245.357142857143,278.32952444148674,4,14,04-26-2024,14:29:42
0,35,3,13,0.9375,0.9285714285714286,12,0.875,0.8571428571428571,10,0.75,0.7142857142857143,1.0,2206.8571428571427,1153.8200004362004,4,14,04-25-2024,14:18:04
0,36,3,10,0.7541666666666667,0.7142857142857143,9,0.7041666666666666,0.6428571428571429,2,0.25,0.1428571428571428,0.9285714285714286,2095.9285714285716,835.003313147339,4,14,04-23-2024,18:35:46
0,37,3,13,0.95,0.9285714285714286,13,0.95,0.9285714285714286,9,0.75,0.6428571428571429,1.0,3151.214285714286,989.3412088215712,4,14,05-08-2024,15:35:03
0,38,3,13,0.9375,0.9285714285714286,13,0.9375,0.9285714285714286,10,0.75,0.7142857142857143,1.0,2158.714285714286,564.5348566701656,4,14,05-17-2024,14:29:44
0,39,3,12,0.8541666666666666,0.8571428571428571,12,0.8541666666666666,0.8571428571428571,7,0.5,0.5,1.0,4331.642857142857,1989.3667955539893,4,14,06-13-2024,12:08:47
0,46,3,13,0.95,0.9285714285714286,12,0.9,0.8571428571428571,9,0.75,0.6428571428571429,0.9285714285714286,1426.5,160.40801341962555,4,14,07-01-2024,14:30:44
